"activity" "subject" "measure" "averagevalue"
"LAYING" 1 "tgravityaccstdx" -0.9690695824
"LAYING" 1 "tgravityaccstdy" -0.9849863322
"LAYING" 1 "tgravityaccstdz" -0.9839076516
"SITTING" 1 "fbodyaccjerkmeanx" -0.843778331702128
"SITTING" 1 "fbodyaccjerkmeany" -0.776984942659575
"SITTING" 1 "fbodyaccjerkmeanz" -0.886528795106383
"SITTING" 1 "fbodyaccjerkstdx" -0.850294584680851
"SITTING" 1 "fbodyaccjerkstdy" -0.76946633462766
"SITTING" 1 "fbodyaccjerkstdz" -0.904638274468085
"SITTING" 1 "fbodyaccmagmean" -0.827435942765957
"SITTING" 1 "fbodyaccmagstd" -0.882560187234043
"SITTING" 1 "fbodyaccmeanx" -0.847128841276596
"SITTING" 1 "fbodyaccmeany" -0.75960271392766
"SITTING" 1 "fbodyaccmeanz" -0.866081719787234
"SITTING" 1 "fbodyaccstdx" -0.870195611914894
"SITTING" 1 "fbodyaccstdy" -0.79249302212766
"SITTING" 1 "fbodyaccstdz" -0.869657441914894
"SITTING" 1 "fbodybodyaccjerkmagmean" -0.799387092553192
"SITTING" 1 "fbodybodyaccjerkmagstd" -0.812954557680851
"SITTING" 1 "fbodybodygyrojerkmagmean" -0.88964049106383
"SITTING" 1 "fbodybodygyrojerkmagstd" -0.882224725744681
"SITTING" 1 "fbodybodygyromagmean" -0.870844930425532
"SITTING" 1 "fbodybodygyromagstd" -0.896313987234043
"SITTING" 1 "fbodygyromeanx" -0.855226861914894
"SITTING" 1 "fbodygyromeany" -0.889771364680851
"SITTING" 1 "fbodygyromeanz" -0.835350370425532
"SITTING" 1 "fbodygyrostdx" -0.907647986170213
"SITTING" 1 "fbodygyrostdy" -0.89219079212766
"SITTING" 1 "fbodygyrostdz" -0.877322946382979
"SITTING" 1 "tbodyaccjerkmagmean" -0.835224124680851
"SITTING" 1 "tbodyaccjerkmagstd" -0.805116281021277
"SITTING" 1 "tbodyaccjerkmeanx" 0.0802545387659575
"SITTING" 1 "tbodyaccjerkmeany" 0.00472155547425532
"SITTING" 1 "tbodyaccjerkmeanz" 0.00290173227957447
"SITTING" 1 "tbodyaccjerkstdx" -0.839815080638298
"SITTING" 1 "tbodyaccjerkstdy" -0.765729033508511
"SITTING" 1 "tbodyaccjerkstdz" -0.896198079148936
"SITTING" 1 "tbodyaccmagmean" -0.82965619
"SITTING" 1 "tbodyaccmagstd" -0.846619278297872
"SITTING" 1 "tbodyaccmeanx" 0.276756059361702
"SITTING" 1 "tbodyaccmeany" -0.0172905092382979
"SITTING" 1 "tbodyaccmeanz" -0.107962654744681
"SITTING" 1 "tbodyaccstdx" -0.863160478723404
"SITTING" 1 "tbodyaccstdy" -0.771324772212766
"SITTING" 1 "tbodyaccstdz" -0.861439823404255
"SITTING" 1 "tbodygyrojerkmagmean" -0.887508153191489
"SITTING" 1 "tbodygyrojerkmagstd" -0.882805503404255
"SITTING" 1 "tbodygyrojerkmeanx" -0.0883779843404255
"SITTING" 1 "tbodygyrojerkmeany" -0.0439838677744681
"SITTING" 1 "tbodygyrojerkmeanz" -0.0518597313191489
"SITTING" 1 "tbodygyrojerkstdx" -0.848438836382979
"SITTING" 1 "tbodygyrojerkstdy" -0.904284572553192
"SITTING" 1 "tbodygyrojerkstdz" -0.857893221276596
"SITTING" 1 "tbodygyromagmean" -0.84365365787234
"SITTING" 1 "tbodygyromagstd" -0.871251198085106
"SITTING" 1 "tbodygyromeanx" -0.0446762986085106
"SITTING" 1 "tbodygyromeany" -0.0688946686893617
"SITTING" 1 "tbodygyromeanz" 0.0993182961276596
"SITTING" 1 "tbodygyrostdx" -0.894762086382979
"SITTING" 1 "tbodygyrostdy" -0.890676509361702
"SITTING" 1 "tbodygyrostdz" -0.856253594255319
"SITTING" 1 "tgravityaccmagmean" -0.82965619
"SITTING" 1 "tgravityaccmagstd" -0.846619278297872
"SITTING" 1 "tgravityaccmeanx" 0.585840508085106
"SITTING" 1 "tgravityaccmeany" 0.0227916687234043
"SITTING" 1 "tgravityaccmeanz" 0.265760107170213
"SITTING" 1 "tgravityaccstdx" -0.974642943617021
"SITTING" 1 "tgravityaccstdy" -0.973844572978723
"SITTING" 1 "tgravityaccstdz" -0.972298811914894
"STANDING" 1 "fbodyaccjerkmeanx" -0.981708545769231
"STANDING" 1 "fbodyaccjerkmeany" -0.970143718653846
"STANDING" 1 "fbodyaccjerkmeanz" -0.980193128269231
"STANDING" 1 "fbodyaccjerkstdx" -0.983825964038462
"STANDING" 1 "fbodyaccjerkstdy" -0.973849235
"STANDING" 1 "fbodyaccjerkstdz" -0.984426757115385
"STANDING" 1 "fbodyaccmagmean" -0.956743292115385
"STANDING" 1 "fbodyaccmagstd" -0.954077673269231
"STANDING" 1 "fbodyaccmeanx" -0.981155809423077
"STANDING" 1 "fbodyaccmeany" -0.952132981153846
"STANDING" 1 "fbodyaccmeanz" -0.964272229423077
"STANDING" 1 "fbodyaccstdx" -0.985215129807692
"STANDING" 1 "fbodyaccstdy" -0.949213761730769
"STANDING" 1 "fbodyaccstdz" -0.951422986538462
"STANDING" 1 "fbodybodyaccjerkmagmean" -0.976709152115385
"STANDING" 1 "fbodybodyaccjerkmagstd" -0.974472380384615
"STANDING" 1 "fbodybodygyrojerkmagmean" -0.979414088076923
"STANDING" 1 "fbodybodygyrojerkmagstd" -0.979106244230769
"STANDING" 1 "fbodybodygyromagmean" -0.962652196153846
"STANDING" 1 "fbodybodygyromagstd" -0.954864865961538
"STANDING" 1 "fbodygyromeanx" -0.972917776923077
"STANDING" 1 "fbodygyromeany" -0.9742046775
"STANDING" 1 "fbodygyromeanz" -0.953588163653846
"STANDING" 1 "fbodygyrostdx" -0.978911377692308
"STANDING" 1 "fbodygyrostdy" -0.971365921153846
"STANDING" 1 "fbodygyrostdz" -0.962646522884615
"STANDING" 1 "tbodyaccjerkmagmean" -0.981264424230769
"STANDING" 1 "tbodyaccjerkmagstd" -0.976164962884615
"STANDING" 1 "tbodyaccjerkmeanx" 0.0717972845192308
"STANDING" 1 "tbodyaccjerkmeany" 0.0117641272036538
"STANDING" 1 "tbodyaccjerkmeanz" 0.00359182587057692
"STANDING" 1 "tbodyaccjerkstdx" -0.981875544423077
"STANDING" 1 "tbodyaccjerkstdy" -0.970790562884615
"STANDING" 1 "tbodyaccjerkstdz" -0.982991638846154
"STANDING" 1 "tbodyaccmagmean" -0.963959819230769
"STANDING" 1 "tbodyaccmagstd" -0.9502421425
"STANDING" 1 "tbodyaccmeanx" 0.277063275
"STANDING" 1 "tbodyaccmeany" -0.0167339855711538
"STANDING" 1 "tbodyaccmeanz" -0.107115540038462
"STANDING" 1 "tbodyaccstdx" -0.983744150769231
"STANDING" 1 "tbodyaccstdy" -0.948399039807692
"STANDING" 1 "tbodyaccstdz" -0.953882014807692
"STANDING" 1 "tbodygyrojerkmagmean" -0.985477226538461
"STANDING" 1 "tbodygyrojerkmagstd" -0.978731497884615
"STANDING" 1 "tbodygyrojerkmeanx" -0.100025438807692
"STANDING" 1 "tbodygyrojerkmeany" -0.0405935148269231
"STANDING" 1 "tbodygyrojerkmeanz" -0.0484074768634615
"STANDING" 1 "tbodygyrojerkstdx" -0.982891446538461
"STANDING" 1 "tbodygyrojerkstdy" -0.984421669038462
"STANDING" 1 "tbodygyrojerkstdz" -0.974069516346154
"STANDING" 1 "tbodygyromagmean" -0.949019503653846
"STANDING" 1 "tbodygyromagstd" -0.952915806153846
"STANDING" 1 "tbodygyromeanx" -0.0378905487482692
"STANDING" 1 "tbodygyromeany" -0.0701183675192308
"STANDING" 1 "tbodygyromeanz" 0.0570450032230769
"STANDING" 1 "tbodygyrostdx" -0.977392026346154
"STANDING" 1 "tbodygyrostdy" -0.972177038653846
"STANDING" 1 "tbodygyrostdz" -0.957274216923077
"STANDING" 1 "tgravityaccmagmean" -0.963959819230769
"STANDING" 1 "tgravityaccmagstd" -0.9502421425
"STANDING" 1 "tgravityaccmeanx" 0.907166874423077
"STANDING" 1 "tgravityaccmeany" -0.248277666095077
"STANDING" 1 "tgravityaccmeanz" 0.184781896980769
"STANDING" 1 "tgravityaccstdx" -0.978613313846154
"STANDING" 1 "tgravityaccstdy" -0.959372005192308
"STANDING" 1 "tgravityaccstdz" -0.952595912884615
"WALKING" 1 "fbodyaccjerkmeanx" -0.126156071167368
"WALKING" 1 "fbodyaccjerkmeany" -0.0326170099968421
"WALKING" 1 "fbodyaccjerkmeanz" -0.463413208694737
"WALKING" 1 "fbodyaccjerkstdx" -0.191943164063158
"WALKING" 1 "fbodyaccjerkstdy" -0.0294953842842105
"WALKING" 1 "fbodyaccjerkstdz" -0.560035422842105
"WALKING" 1 "fbodyaccmagmean" -0.0458345632547368
"WALKING" 1 "fbodyaccmagstd" -0.317801434969474
"WALKING" 1 "fbodyaccmeanx" -0.14157217114
"WALKING" 1 "fbodyaccmeany" 0.102812385529368
"WALKING" 1 "fbodyaccmeanz" -0.331055195978947
"WALKING" 1 "fbodyaccstdx" -0.236747478574737
"WALKING" 1 "fbodyaccstdy" 0.0106317305989474
"WALKING" 1 "fbodyaccstdz" -0.327379410142105
"WALKING" 1 "fbodybodyaccjerkmagmean" -0.0291958608305263
"WALKING" 1 "fbodybodyaccjerkmagstd" -0.0414614224210526
"WALKING" 1 "fbodybodygyrojerkmagmean" -0.526257951631579
"WALKING" 1 "fbodybodygyrojerkmagstd" -0.507631718684211
"WALKING" 1 "fbodybodygyromagmean" -0.446808495231579
"WALKING" 1 "fbodybodygyromagstd" -0.507793476547368
"WALKING" 1 "fbodygyromeanx" -0.328708275316842
"WALKING" 1 "fbodygyromeany" -0.477648117242105
"WALKING" 1 "fbodygyromeanz" -0.278289046764211
"WALKING" 1 "fbodygyrostdx" -0.510758801842105
"WALKING" 1 "fbodygyrostdy" -0.488911140842105
"WALKING" 1 "fbodygyrostdz" -0.494170157473684
"WALKING" 1 "tbodyaccjerkmagmean" -0.189399261763158
"WALKING" 1 "tbodyaccjerkmagstd" -0.0307715458568421
"WALKING" 1 "tbodyaccjerkmeanx" 0.0800358293765263
"WALKING" 1 "tbodyaccjerkmeany" 0.00870882700736842
"WALKING" 1 "tbodyaccjerkmeanz" 0.00383939204842105
"WALKING" 1 "tbodyaccjerkstdx" -0.117990175282105
"WALKING" 1 "tbodyaccjerkstdy" 0.00229708901368421
"WALKING" 1 "tbodyaccjerkstdz" -0.512152851473684
"WALKING" 1 "tbodyaccmagmean" -0.115495044311579
"WALKING" 1 "tbodyaccmagstd" -0.129441982509474
"WALKING" 1 "tbodyaccmeanx" 0.274671992515789
"WALKING" 1 "tbodyaccmeany" -0.0236888285713684
"WALKING" 1 "tbodyaccmeanz" -0.117632590873684
"WALKING" 1 "tbodyaccstdx" -0.207389273705263
"WALKING" 1 "tbodyaccstdy" 0.0894331036210526
"WALKING" 1 "tbodyaccstdz" -0.291028635210526
"WALKING" 1 "tbodygyrojerkmagmean" -0.522515690210526
"WALKING" 1 "tbodygyrojerkmagstd" -0.502085554568421
"WALKING" 1 "tbodygyrojerkmeanx" -0.0680360769736842
"WALKING" 1 "tbodygyrojerkmeany" -0.0465739994873684
"WALKING" 1 "tbodygyrojerkmeanz" -0.0566342275157895
"WALKING" 1 "tbodygyrojerkstdx" -0.376196230315789
"WALKING" 1 "tbodygyrojerkstdy" -0.593347686863158
"WALKING" 1 "tbodygyrojerkstdz" -0.375098414047368
"WALKING" 1 "tbodygyromagmean" -0.3209096302
"WALKING" 1 "tbodygyromagstd" -0.421164114842105
"WALKING" 1 "tbodygyromeanx" -0.0815366715422105
"WALKING" 1 "tbodygyromeany" -0.0253191329157895
"WALKING" 1 "tbodygyromeanz" 0.07335739368
"WALKING" 1 "tbodygyrostdx" -0.465259187793684
"WALKING" 1 "tbodygyrostdy" -0.479797184421053
"WALKING" 1 "tbodygyrostdz" -0.393097597452632
"WALKING" 1 "tgravityaccmagmean" -0.115495044311579
"WALKING" 1 "tgravityaccmagstd" -0.129441982509474
"WALKING" 1 "tgravityaccmeanx" 0.871655964736842
"WALKING" 1 "tgravityaccmeany" -0.352914049157895
"WALKING" 1 "tgravityaccmeanz" 0.0470575013494737
"WALKING" 1 "tgravityaccstdx" -0.953923131157895
"WALKING" 1 "tgravityaccstdy" -0.949879026210526
"WALKING" 1 "tgravityaccstdz" -0.940489149789474
"WALKING_DOWNSTAIRS" 1 "fbodyaccjerkmeanx" -0.451025420510204
"WALKING_DOWNSTAIRS" 1 "fbodyaccjerkmeany" -0.435629317034694
"WALKING_DOWNSTAIRS" 1 "fbodyaccjerkmeanz" -0.63125493644898
"WALKING_DOWNSTAIRS" 1 "fbodyaccjerkstdx" -0.511066091046939
"WALKING_DOWNSTAIRS" 1 "fbodyaccjerkstdy" -0.479003563408163
"WALKING_DOWNSTAIRS" 1 "fbodyaccjerkstdz" -0.714989160816327
"WALKING_DOWNSTAIRS" 1 "fbodyaccmagmean" -0.373633551989796
"WALKING_DOWNSTAIRS" 1 "fbodyaccmagstd" -0.514771963306122
"WALKING_DOWNSTAIRS" 1 "fbodyaccmeanx" -0.471005563946939
"WALKING_DOWNSTAIRS" 1 "fbodyaccmeany" -0.310338009163265
"WALKING_DOWNSTAIRS" 1 "fbodyaccmeanz" -0.466388664285714
"WALKING_DOWNSTAIRS" 1 "fbodyaccstdx" -0.512546090857143
"WALKING_DOWNSTAIRS" 1 "fbodyaccstdy" -0.294735420932653
"WALKING_DOWNSTAIRS" 1 "fbodyaccstdz" -0.340531983361224
"WALKING_DOWNSTAIRS" 1 "fbodybodyaccjerkmagmean" -0.406925664414286
"WALKING_DOWNSTAIRS" 1 "fbodybodyaccjerkmagstd" -0.440722500795918
"WALKING_DOWNSTAIRS" 1 "fbodybodygyrojerkmagmean" -0.717796246326531
"WALKING_DOWNSTAIRS" 1 "fbodybodygyrojerkmagstd" -0.736981997142857
"WALKING_DOWNSTAIRS" 1 "fbodybodygyromagmean" -0.624051033469388
"WALKING_DOWNSTAIRS" 1 "fbodybodygyromagstd" -0.618078124489796
"WALKING_DOWNSTAIRS" 1 "fbodygyromeanx" -0.529351481612245
"WALKING_DOWNSTAIRS" 1 "fbodygyromeany" -0.64050682244898
"WALKING_DOWNSTAIRS" 1 "fbodygyromeanz" -0.463289876755102
"WALKING_DOWNSTAIRS" 1 "fbodygyrostdx" -0.632471976938776
"WALKING_DOWNSTAIRS" 1 "fbodygyrostdy" -0.633669386938776
"WALKING_DOWNSTAIRS" 1 "fbodygyrostdz" -0.482012443979592
"WALKING_DOWNSTAIRS" 1 "tbodyaccjerkmagmean" -0.503656836530612
"WALKING_DOWNSTAIRS" 1 "tbodyaccjerkmagstd" -0.419713764918367
"WALKING_DOWNSTAIRS" 1 "tbodyaccjerkmeanx" 0.0861981443061225
"WALKING_DOWNSTAIRS" 1 "tbodyaccjerkmeany" -0.0113778041316327
"WALKING_DOWNSTAIRS" 1 "tbodyaccjerkmeanz" -0.0251647843334694
"WALKING_DOWNSTAIRS" 1 "tbodyaccjerkstdx" -0.454917575
"WALKING_DOWNSTAIRS" 1 "tbodyaccjerkstdy" -0.436237151391837
"WALKING_DOWNSTAIRS" 1 "tbodyaccjerkstdz" -0.673080636938776
"WALKING_DOWNSTAIRS" 1 "tbodyaccmagmean" -0.374729811387755
"WALKING_DOWNSTAIRS" 1 "tbodyaccmagstd" -0.402810131755102
"WALKING_DOWNSTAIRS" 1 "tbodyaccmeanx" 0.254227281897959
"WALKING_DOWNSTAIRS" 1 "tbodyaccmeany" -0.00719625114081633
"WALKING_DOWNSTAIRS" 1 "tbodyaccmeanz" -0.128201533265306
"WALKING_DOWNSTAIRS" 1 "tbodyaccstdx" -0.499753265512245
"WALKING_DOWNSTAIRS" 1 "tbodyaccstdy" -0.267947988383673
"WALKING_DOWNSTAIRS" 1 "tbodyaccstdz" -0.349916077257143
"WALKING_DOWNSTAIRS" 1 "tbodygyrojerkmagmean" -0.696733669795918
"WALKING_DOWNSTAIRS" 1 "tbodygyrojerkmagstd" -0.717409660204082
"WALKING_DOWNSTAIRS" 1 "tbodygyrojerkmeanx" -0.0841927516714286
"WALKING_DOWNSTAIRS" 1 "tbodygyrojerkmeany" -0.0516005204673469
"WALKING_DOWNSTAIRS" 1 "tbodygyrojerkmeanz" -0.045340769644898
"WALKING_DOWNSTAIRS" 1 "tbodygyrojerkstdx" -0.624553189387755
"WALKING_DOWNSTAIRS" 1 "tbodygyrojerkstdy" -0.748814404285714
"WALKING_DOWNSTAIRS" 1 "tbodygyrojerkstdz" -0.617800063673469
"WALKING_DOWNSTAIRS" 1 "tbodygyromagmean" -0.44346068977
"WALKING_DOWNSTAIRS" 1 "tbodygyromagstd" -0.575871032244898
"WALKING_DOWNSTAIRS" 1 "tbodygyromeanx" -0.0516541876122449
"WALKING_DOWNSTAIRS" 1 "tbodygyromeany" -0.0539637982755102
"WALKING_DOWNSTAIRS" 1 "tbodygyromeanz" 0.100256075979592
"WALKING_DOWNSTAIRS" 1 "tbodygyrostdx" -0.606268632653061
"WALKING_DOWNSTAIRS" 1 "tbodygyrostdy" -0.633448811020408
"WALKING_DOWNSTAIRS" 1 "tbodygyrostdz" -0.435326219134694
"WALKING_DOWNSTAIRS" 1 "tgravityaccmagmean" -0.374729811387755
"WALKING_DOWNSTAIRS" 1 "tgravityaccmagstd" -0.402810131755102
"WALKING_DOWNSTAIRS" 1 "tgravityaccmeanx" 0.83312885122449
"WALKING_DOWNSTAIRS" 1 "tgravityaccmeany" -0.173575698018367
"WALKING_DOWNSTAIRS" 1 "tgravityaccmeanz" -0.114037009628571
"WALKING_DOWNSTAIRS" 1 "tgravityaccstdx" -0.951881226734694
"WALKING_DOWNSTAIRS" 1 "tgravityaccstdy" -0.941027978367347
"WALKING_DOWNSTAIRS" 1 "tgravityaccstdz" -0.886873604795918
"WALKING_UPSTAIRS" 1 "fbodyaccjerkmeanx" -0.877909383207547
"WALKING_UPSTAIRS" 1 "fbodyaccjerkmeany" -0.858828682830189
"WALKING_UPSTAIRS" 1 "fbodyaccjerkmeanz" -0.886918346226415
"WALKING_UPSTAIRS" 1 "fbodyaccjerkstdx" -0.88739737509434
"WALKING_UPSTAIRS" 1 "fbodyaccjerkstdy" -0.86219655509434
"WALKING_UPSTAIRS" 1 "fbodyaccjerkstdz" -0.904107469056604
"WALKING_UPSTAIRS" 1 "fbodyaccmagmean" -0.834489459641509
"WALKING_UPSTAIRS" 1 "fbodyaccmagstd" -0.854197022264151
"WALKING_UPSTAIRS" 1 "fbodyaccmeanx" -0.886318944528302
"WALKING_UPSTAIRS" 1 "fbodyaccmeany" -0.80796744390566
"WALKING_UPSTAIRS" 1 "fbodyaccmeanz" -0.816487989881132
"WALKING_UPSTAIRS" 1 "fbodyaccstdx" -0.902100457735849
"WALKING_UPSTAIRS" 1 "fbodyaccstdy" -0.77163685554717
"WALKING_UPSTAIRS" 1 "fbodyaccstdz" -0.752315802867925
"WALKING_UPSTAIRS" 1 "fbodybodyaccjerkmagmean" -0.859158590716981
"WALKING_UPSTAIRS" 1 "fbodybodyaccjerkmagstd" -0.864856018645283
"WALKING_UPSTAIRS" 1 "fbodybodygyrojerkmagmean" -0.910158823773585
"WALKING_UPSTAIRS" 1 "fbodybodygyrojerkmagstd" -0.91296737
"WALKING_UPSTAIRS" 1 "fbodybodygyromagmean" -0.855967730943396
"WALKING_UPSTAIRS" 1 "fbodybodygyromagstd" -0.832098051320755
"WALKING_UPSTAIRS" 1 "fbodygyromeanx" -0.822265577981132
"WALKING_UPSTAIRS" 1 "fbodygyromeany" -0.89659759754717
"WALKING_UPSTAIRS" 1 "fbodygyromeanz" -0.823113955698113
"WALKING_UPSTAIRS" 1 "fbodygyrostdx" -0.849902348301887
"WALKING_UPSTAIRS" 1 "fbodygyrostdy" -0.900962842075472
"WALKING_UPSTAIRS" 1 "fbodygyrostdz" -0.794916672
"WALKING_UPSTAIRS" 1 "tbodyaccjerkmagmean" -0.87394330754717
"WALKING_UPSTAIRS" 1 "tbodyaccjerkmagstd" -0.861611963283019
"WALKING_UPSTAIRS" 1 "tbodyaccjerkmeanx" 0.075302033395283
"WALKING_UPSTAIRS" 1 "tbodyaccjerkmeany" -0.00331538781816981
"WALKING_UPSTAIRS" 1 "tbodyaccjerkmeanz" -0.00495454347811321
"WALKING_UPSTAIRS" 1 "tbodyaccjerkstdx" -0.877007414
"WALKING_UPSTAIRS" 1 "tbodyaccjerkstdy" -0.855506823962264
"WALKING_UPSTAIRS" 1 "tbodyaccjerkstdz" -0.896214742641509
"WALKING_UPSTAIRS" 1 "tbodyaccmagmean" -0.817224081433962
"WALKING_UPSTAIRS" 1 "tbodyaccmagstd" -0.83009678490566
"WALKING_UPSTAIRS" 1 "tbodyaccmeanx" 0.273524444641509
"WALKING_UPSTAIRS" 1 "tbodyaccmeany" -0.0208184008132075
"WALKING_UPSTAIRS" 1 "tbodyaccmeanz" -0.115277592169811
"WALKING_UPSTAIRS" 1 "tbodyaccstdx" -0.897256243584906
"WALKING_UPSTAIRS" 1 "tbodyaccstdy" -0.774123837071698
"WALKING_UPSTAIRS" 1 "tbodyaccstdz" -0.762022141830189
"WALKING_UPSTAIRS" 1 "tbodygyrojerkmagmean" -0.911166571132075
"WALKING_UPSTAIRS" 1 "tbodygyrojerkmagstd" -0.908693463773585
"WALKING_UPSTAIRS" 1 "tbodygyrojerkmeanx" -0.105475199056604
"WALKING_UPSTAIRS" 1 "tbodygyrojerkmeany" -0.0362308412981132
"WALKING_UPSTAIRS" 1 "tbodygyrojerkmeanz" -0.0598348324377358
"WALKING_UPSTAIRS" 1 "tbodygyrojerkstdx" -0.881188706037736
"WALKING_UPSTAIRS" 1 "tbodygyrojerkstdy" -0.921528553396226
"WALKING_UPSTAIRS" 1 "tbodygyrojerkstdz" -0.902920696981132
"WALKING_UPSTAIRS" 1 "tbodygyromagmean" -0.811162192264151
"WALKING_UPSTAIRS" 1 "tbodygyromagstd" -0.822644968679245
"WALKING_UPSTAIRS" 1 "tbodygyromeanx" -0.0348439660932075
"WALKING_UPSTAIRS" 1 "tbodygyromeany" -0.0753128314339623
"WALKING_UPSTAIRS" 1 "tbodygyromeanz" 0.0963811324528302
"WALKING_UPSTAIRS" 1 "tbodygyrostdx" -0.842381048679245
"WALKING_UPSTAIRS" 1 "tbodygyrostdy" -0.898561728113208
"WALKING_UPSTAIRS" 1 "tbodygyrostdz" -0.785706607037736
"WALKING_UPSTAIRS" 1 "tgravityaccmagmean" -0.817224081433962
"WALKING_UPSTAIRS" 1 "tgravityaccmagstd" -0.83009678490566
"WALKING_UPSTAIRS" 1 "tgravityaccmeanx" 0.883902578490566
"WALKING_UPSTAIRS" 1 "tgravityaccmeany" -0.211752194264151
"WALKING_UPSTAIRS" 1 "tgravityaccmeanz" 0.0791451120754717
"WALKING_UPSTAIRS" 1 "tgravityaccstdx" -0.975847486226415
"WALKING_UPSTAIRS" 1 "tgravityaccstdy" -0.950500945849057
"WALKING_UPSTAIRS" 1 "tgravityaccstdz" -0.928769866415094
"LAYING" 2 "fbodyaccjerkmeanx" -0.720603177975
"LAYING" 2 "fbodyaccjerkmeany" -0.696230559958333
"LAYING" 2 "fbodyaccjerkmeanz" -0.799023618958333
"LAYING" 2 "fbodyaccjerkstdx" -0.7232265940625
"LAYING" 2 "fbodyaccjerkstdy" -0.675657094020833
"LAYING" 2 "fbodyaccjerkstdz" -0.828177539791667
"LAYING" 2 "fbodyaccmagmean" -0.7046160865
"LAYING" 2 "fbodyaccmagstd" -0.786844423541667
"LAYING" 2 "fbodyaccmeanx" -0.7378242255125
"LAYING" 2 "fbodyaccmeany" -0.679437114322917
"LAYING" 2 "fbodyaccmeanz" -0.781631284
"LAYING" 2 "fbodyaccstdx" -0.710823893625
"LAYING" 2 "fbodyaccstdy" -0.706451089729167
"LAYING" 2 "fbodyaccstdz" -0.77442477125
"LAYING" 2 "fbodybodyaccjerkmagmean" -0.700869107104167
"LAYING" 2 "fbodybodyaccjerkmagstd" -0.666271941958333
